Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
1.0,0.1489,0.3208,0.1866,1.0,0.0,0.5,0.6667,0.3333,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1
1.0,0.1489,0.1321,0.1269,1.0,0.0,1.0,0.6667,0.3333,1.0,1.0,1.0,1.0,0.0,0.3333,1.0,1
0.0,0.1915,0.6604,0.2836,1.0,0.0,0.5,0.6667,0.3333,0.0,0.5,0.0,0.6667,0.5,0.6667,1.0,1
0.0,0.2766,0.6604,0.3582,0.0,0.0,1.0,0.6667,0.3333,0.0,0.5,0.0,0.6667,0.0,0.6667,0.0,2
0.0,0.1702,0.6226,0.3791,0.0,0.0,0.5,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.3333,1.0,3
0.0,0.3191,0.3208,0.1045,0.0,1.0,0.5,0.6667,0.3333,0.0,0.5,0.0,0.0,0.0,0.3333,0.75,1
1.0,0.1915,0.0943,0.1194,1.0,1.0,1.0,0.6667,0.3333,0.0,0.5,0.0,0.3333,0.0,0.3333,0.5,1
0.0,0.1702,0.3585,0.1045,0.0,0.0,0.5,0.6667,0.3333,0.0,0.5,0.0,1.0,0.0,0.3333,1.0,1
0.0,0.2128,0.6226,0.1866,1.0,1.0,1.0,0.6667,0.3333,0.0,0.5,0.0,0.3333,0.5,0.6667,1.0,1
0.0,0.1702,0.5094,0.2164,1.0,1.0,0.5,0.6667,0.3333,0.0,0.5,0.0,0.3333,0.5,0.0,1.0,1
0.0,0.2553,0.7547,0.4925,1.0,1.0,1.0,0.6667,0.6667,0.0,1.0,0.0,0.6667,1.0,0.3333,1.0,4
1.0,0.1489,0.5094,0.306,1.0,1.0,0.5,0.6667,0.6667,0.0,0.5,1.0,0.6667,0.5,0.3333,1.0,3
0.0,0.1702,0.3774,0.1269,0.0,0.0,1.0,0.6667,0.3333,0.0,1.0,0.0,0.6667,0.0,0.3333,1.0,1
0.0,0.5745,0.6604,0.4478,0.0,1.0,0.5,0.6667,0.3333,0.0,0.5,0.0,0.6667,0.5,0.6667,0.75,4
0.0,0.1915,0.6038,0.1567,1.0,1.0,1.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.5,0.3333,1.0,1
1.0,0.1702,0.4717,0.2015,1.0,0.0,1.0,0.6667,1.0,0.0,0.5,1.0,0.6667,0.5,0.3333,1.0,1
0.0,0.2766,0.9057,0.4701,1.0,1.0,0.5,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.3333,1.0,3
1.0,0.3191,0.1509,0.291,0.0,1.0,0.5,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.0,0.75,4
1.0,0.3404,0.4906,0.3209,1.0,1.0,1.0,1.0,0.6667,1.0,0.0,0.0,0.0,0.0,0.0,0.75,3
1.0,0.1915,0.3774,0.2313,1.0,0.0,0.5,0.0,0.3333,0.0,0.5,0.0,0.0,0.0,0.3333,1.0,2
0.0,0.1702,0.3774,0.306,1.0,0.0,0.5,0.6667,0.3333,0.0,0.5,0.0,1.0,1.0,0.0,0.0,3
