index,true_label,pred_label,pred_proba_pos
0,4,5,0.7133333333333334
3,5,4,0.3
4,4,5,0.52
5,5,4,0.04666666666666667
7,4,5,0.8733333333333333
9,4,5,0.9366666666666666
11,4,5,0.8433333333333334
14,5,4,0.31666666666666665
15,5,4,0.07333333333333333
17,5,4,0.4
19,5,4,0.49666666666666665
20,4,5,0.8566666666666667
26,5,4,0.23666666666666666
28,4,5,0.8166666666666667
31,4,5,0.77
32,4,5,0.7433333333333333
33,5,4,0.2866666666666667
34,5,4,0.17666666666666667
36,4,5,0.8566666666666667
37,4,5,0.9333333333333333
41,5,4,0.05333333333333334
42,4,5,0.8133333333333334
46,5,4,0.18333333333333332
54,4,5,0.8533333333333334
55,4,5,0.8866666666666667
56,4,5,0.6833333333333333
57,5,4,0.3233333333333333
58,5,4,0.48
59,5,4,0.24333333333333335
60,4,5,0.94
62,5,4,0.16333333333333333
63,4,5,0.8366666666666667
64,5,4,0.21
71,5,4,0.22333333333333333
72,4,5,0.71
73,5,4,0.41
74,5,4,0.3294444444444445
77,5,4,0.23333333333333334
80,4,5,0.9033333333333333
81,5,4,0.5
83,5,4,0.48333333333333334
85,5,4,0.31666666666666665
86,5,4,0.18
87,4,5,0.7033333333333334
90,4,5,0.76
92,4,5,0.6133333333333333
96,4,5,0.9666666666666667
98,4,5,0.6533333333333333
99,4,5,0.91
104,5,4,0.36333333333333334
105,4,5,0.72
106,4,5,0.7733333333333333
110,4,5,0.84
111,4,5,0.8566666666666667
115,4,5,0.8833333333333333
117,4,5,0.95
