config_id,config_name,n_neighbors,min_dist,spread,metric,data_type,n_samples,silhouette,purity,inner_outliers,outer_outliers,total_outliers,outlier_percentage
1,Detali lokali struktūra,15,0.1,1.0,euclidean,raw,972,0.021520741283893585,0.573045267489712,55,127,182,18.72427983539095
1,Detali lokali struktūra,15,0.1,1.0,manhattan,raw,972,0.07477185130119324,0.6234567901234568,55,127,182,18.72427983539095
1,Detali lokali struktūra,15,0.1,1.0,cosine,raw,972,0.08560673892498016,0.5236625514403292,55,127,182,18.72427983539095
2,Subalansuota,25,0.2,1.0,euclidean,raw,972,0.11590122431516647,0.6111111111111112,55,127,182,18.72427983539095
2,Subalansuota,25,0.2,1.0,manhattan,raw,972,0.16822612285614014,0.6100823045267489,55,127,182,18.72427983539095
2,Subalansuota,25,0.2,1.0,cosine,raw,972,0.12094596773386002,0.6296296296296297,55,127,182,18.72427983539095
3,Globali struktūra,40,0.3,1.5,euclidean,raw,972,0.03865058347582817,0.6049382716049383,55,127,182,18.72427983539095
3,Globali struktūra,40,0.3,1.5,manhattan,raw,972,0.14238226413726807,0.5905349794238683,55,127,182,18.72427983539095
3,Globali struktūra,40,0.3,1.5,cosine,raw,972,0.1038491502404213,0.5874485596707819,55,127,182,18.72427983539095
4,Labai globali struktūra,45,0.9,1.0,euclidean,raw,972,0.17901822924613953,0.7314814814814815,55,127,182,18.72427983539095
4,Labai globali struktūra,45,0.9,1.0,manhattan,raw,972,0.11559557914733887,0.6532921810699589,55,127,182,18.72427983539095
4,Labai globali struktūra,45,0.9,1.0,cosine,raw,972,0.06262056529521942,0.5720164609053497,55,127,182,18.72427983539095
1,Detali lokali struktūra,15,0.1,1.0,euclidean,normalized,972,0.14526307582855225,0.6512345679012346,54,127,181,18.621399176954732
1,Detali lokali struktūra,15,0.1,1.0,manhattan,normalized,972,0.07549002021551132,0.522633744855967,54,127,181,18.621399176954732
1,Detali lokali struktūra,15,0.1,1.0,cosine,normalized,972,0.09443804621696472,0.6203703703703703,54,127,181,18.621399176954732
2,Subalansuota,25,0.2,1.0,euclidean,normalized,972,0.11686684936285019,0.5699588477366255,54,127,181,18.621399176954732
2,Subalansuota,25,0.2,1.0,manhattan,normalized,972,0.1561611294746399,0.6358024691358025,54,127,181,18.621399176954732
2,Subalansuota,25,0.2,1.0,cosine,normalized,972,0.1118207722902298,0.5833333333333334,54,127,181,18.621399176954732
3,Globali struktūra,40,0.3,1.5,euclidean,normalized,972,0.1127614825963974,0.6286008230452675,54,127,181,18.621399176954732
3,Globali struktūra,40,0.3,1.5,manhattan,normalized,972,0.10239248722791672,0.6358024691358025,54,127,181,18.621399176954732
3,Globali struktūra,40,0.3,1.5,cosine,normalized,972,0.1105501726269722,0.5843621399176955,54,127,181,18.621399176954732
4,Labai globali struktūra,45,0.9,1.0,euclidean,normalized,972,0.12500715255737305,0.6358024691358025,54,127,181,18.621399176954732
4,Labai globali struktūra,45,0.9,1.0,manhattan,normalized,972,0.16204483807086945,0.6224279835390947,54,127,181,18.621399176954732
4,Labai globali struktūra,45,0.9,1.0,cosine,normalized,972,0.09296133369207382,0.6358024691358025,54,127,181,18.621399176954732
